😀 grinning face	happy smile cheerful
👨🏽‍💻 man technologist: medium skin tone
👨🏾‍💻 man technologist: medium-dark skin tone
👨🏿‍💻 man technologist: dark skin tone
👩‍💻 woman technologist
👩🏻‍💻 woman technologist: light skin tone
👩🏼‍💻 woman technologist: medium-light skin tone
👩🏽‍💻 woman technologist: medium skin tone
👩🏾‍💻 woman technologist: medium-dark skin tone
👩🏿‍💻 woman technologist: dark skin tone
🧑‍🎤 singer
🧑🏻‍🎤 singer: light skin tone
🧑🏼‍🎤 singer: medium-light skin tone
🧑🏽‍🎤 singer: medium skin tone
🧑🏾‍🎤 singer: medium-dark skin tone
🧑🏿‍🎤 singer: dark skin tone
👨‍🎤 man singer
👨🏻‍🎤 man singer: light skin tone
👨🏼‍🎤 man singer: medium-light skin tone
👨🏽‍🎤 man singer: medium skin tone
👨🏾‍🎤 man singer: medium-dark skin tone
👨🏿‍🎤 man singer: dark skin tone
👩‍🎤 woman singer
👩🏻‍🎤 woman singer: light skin tone
👩🏼‍🎤 woman singer: medium-light skin tone
👩🏽‍🎤 woman singer: medium skin tone
👩🏾‍🎤 woman singer: medium-dark skin tone
👩🏿‍🎤 woman singer: dark skin tone
🧑‍🎨 artist
🧑🏻‍🎨 artist: light skin tone
🧑🏼‍🎨 artist: medium-light skin tone
🧑🏽‍🎨 artist: medium skin tone
🧑🏾‍🎨 artist: medium-dark skin tone
🧑🏿‍🎨 artist: dark skin tone
👨‍🎨 man artist
👨🏻‍🎨 man artist: light skin tone
👨🏼‍🎨 man artist: medium-light skin tone
👨🏽‍🎨 man artist: medium skin tone
👨🏾‍🎨 man artist: medium-dark skin tone
👨🏿‍🎨 man artist: dark skin tone
👩‍🎨 woman artist
👩🏻‍🎨 woman artist: light skin tone
👩🏼‍🎨 woman artist: medium-light skin tone
👩🏽‍🎨 woman artist: medium skin tone
👩🏾‍🎨 woman artist: medium-dark skin tone
👩🏿‍🎨 woman artist: dark skin tone
🧑‍✈️ pilot
🧑🏻‍✈️ pilot: light skin tone
🧑🏼‍✈️ pilot: medium-light skin tone
🧑🏽‍✈️ pilot: medium skin tone
🧑🏾‍✈️ pilot: medium-dark skin tone
🧑🏿‍✈️ pilot: dark skin tone
👨‍✈️ man pilot
👨🏻‍✈️ man pilot: light skin tone
👨🏼‍✈️ man pilot: medium-light skin tone
👨🏽‍✈️ man pilot: medium skin tone
👨🏾‍✈️ man pilot: medium-dark skin tone
👨🏿‍✈️ man pilot: dark skin tone
👩‍✈️ woman pilot
👩🏻‍✈️ woman pilot: light skin tone
👩🏼‍✈️ woman pilot: medium-light skin tone
👩🏽‍✈️ woman pilot: medium skin tone
👩🏾‍✈️ woman pilot: medium-dark skin tone
👩🏿‍✈️ woman pilot: dark skin tone
🧑‍🚀 astronaut
🧑🏻‍🚀 astronaut: light skin tone
🧑🏼‍🚀 astronaut: medium-light skin tone
🧑🏽‍🚀 astronaut: medium skin tone
🧑🏾‍🚀 astronaut: medium-dark skin tone
🧑🏿‍🚀 astronaut: dark skin tone
👨‍🚀 man astronaut
👨🏻‍🚀 man astronaut: light skin tone
👨🏼‍🚀 man astronaut: medium-light skin tone
👨🏽‍🚀 man astronaut: medium skin tone
👨🏾‍🚀 man astronaut: medium-dark skin tone
👨🏿‍🚀 man astronaut: dark skin tone
👩‍🚀 woman astronaut
👩🏻‍🚀 woman astronaut: light skin tone
👩🏼‍🚀 woman astronaut: medium-light skin tone
👩🏽‍🚀 woman astronaut: medium skin tone
👩🏾‍🚀 woman astronaut: medium-dark skin tone
👩🏿‍🚀 woman astronaut: dark skin tone
🧑‍🚒 firefighter
🧑🏻‍🚒 firefighter: light skin tone
🧑🏼‍🚒 firefighter: medium-light skin tone
🧑🏽‍🚒 firefighter: medium skin tone
🧑🏾‍🚒 firefighter: medium-dark skin tone
🧑🏿‍🚒 firefighter: dark skin tone
👨‍🚒 man firefighter
👨🏻‍🚒 man firefighter: light skin tone
👨🏼‍🚒 man firefighter: medium-light skin tone
👨🏽‍🚒 man firefighter: medium skin tone
👨🏾‍🚒 man firefighter: medium-dark skin tone
👨🏿‍🚒 man firefighter: dark skin tone
👩‍🚒 woman firefighter
👩🏻‍🚒 woman firefighter: light skin tone
👩🏼‍🚒 woman firefighter: medium-light skin tone
👩🏽‍🚒 woman firefighter: medium skin tone
👩🏾‍🚒 woman firefighter: medium-dark skin tone
👩🏿‍🚒 woman firefighter: dark skin tone
👮 police officer
👮🏻 police officer: light skin tone
👮🏼 police officer: medium-light skin tone
👮🏽 police officer: medium skin tone
👮🏾 police officer: medium-dark skin tone
👮🏿 police officer: dark skin tone
👮‍♂️ man police officer
👮🏻‍♂️ man police officer: light skin tone
👮🏼‍♂️ man police officer: medium-light skin tone
👮🏽‍♂️ man police officer: medium skin tone
👮🏾‍♂️ man police officer: medium-dark skin tone
👮🏿‍♂️ man police officer: dark skin tone
👮‍♀️ woman police officer
👮🏻‍♀️ woman police officer: light skin tone
👮🏼‍♀️ woman police officer: medium-light skin tone
👮🏽‍♀️ woman police officer: medium skin tone
👮🏾‍♀️ woman police officer: medium-dark skin tone
👮🏿‍♀️ woman police officer: dark skin tone
🕵️ detective
🕵🏻 detective: light skin tone
🕵🏼 detective: medium-light skin tone
🕵🏽 detective: medium skin tone
🕵🏾 detective: medium-dark skin tone
🕵🏿 detective: dark skin tone
🕵️‍♂️ man detective
🕵🏻‍♂️ man detective: light skin tone
🕵🏼‍♂️ man detective: medium-light skin tone
🕵🏽‍♂️ man detective: medium skin tone
🕵🏾‍♂️ man detective: medium-dark skin tone
🕵🏿‍♂️ man detective: dark skin tone
🕵️‍♀️ woman detective
🕵🏻‍♀️ woman detective: light skin tone
🕵🏼‍♀️ woman detective: medium-light skin tone
🕵🏽‍♀️ woman detective: medium skin tone
🕵🏾‍♀️ woman detective: medium-dark skin tone
🕵🏿‍♀️ woman detective: dark skin tone
💂 guard
💂🏻 guard: light skin tone
💂🏼 guard: medium-light skin tone
💂🏽 guard: medium skin tone
💂🏾 guard: medium-dark skin tone
💂🏿 guard: dark skin tone
💂‍♂️ man guard
💂🏻‍♂️ man guard: light skin tone
💂🏼‍♂️ man guard: medium-light skin tone
💂🏽‍♂️ man guard: medium skin tone
💂🏾‍♂️ man guard: medium-dark skin tone
💂🏿‍♂️ man guard: dark skin tone
💂‍♀️ woman guard
💂🏻‍♀️ woman guard: light skin tone
💂🏼‍♀️ woman guard: medium-light skin tone
💂🏽‍♀️ woman guard: medium skin tone
💂🏾‍♀️ woman guard: medium-dark skin tone
💂🏿‍♀️ woman guard: dark skin tone
🥷 ninja
🥷🏻 ninja: light skin tone
🥷🏼 ninja: medium-light skin tone
🥷🏽 ninja: medium skin tone
🥷🏾 ninja: medium-dark skin tone
🥷🏿 ninja: dark skin tone
👷 construction worker
👷🏻 construction worker: light skin tone
👷🏼 construction worker: medium-light skin tone
👷🏽 construction worker: medium skin tone
👷🏾 construction worker: medium-dark skin tone
👷🏿 construction worker: dark skin tone
👷‍♂️ man construction worker
👷🏻‍♂️ man construction worker: light skin tone
👷🏼‍♂️ man construction worker: medium-light skin tone
👷🏽‍♂️ man construction worker: medium skin tone
👷🏾‍♂️ man construction worker: medium-dark skin tone
👷🏿‍♂️ man construction worker: dark skin tone
👷‍♀️ woman construction worker
👷🏻‍♀️ woman construction worker: light skin tone
👷🏼‍♀️ woman construction worker: medium-light skin tone
👷🏽‍♀️ woman construction worker: medium skin tone
👷🏾‍♀️ woman construction worker: medium-dark skin tone
👷🏿‍♀️ woman construction worker: dark skin tone
🫅 person with crown
🫅🏻 person with crown: light skin tone
🫅🏼 person with crown: medium-light skin tone
🫅🏽 person with crown: medium skin tone
🫅🏾 person with crown: medium-dark skin tone
🫅🏿 person with crown: dark skin tone
🤴 prince
🤴🏻 prince: light skin tone
🤴🏼 prince: medium-light skin tone
🤴🏽 prince: medium skin tone
🤴🏾 prince: medium-dark skin tone
🤴🏿 prince: dark skin tone
👸 princess
👸🏻 princess: light skin tone
👸🏼 princess: medium-light skin tone
👸🏽 princess: medium skin tone
👸🏾 princess: medium-dark skin tone
👸🏿 princess: dark skin tone
👳 person wearing turban
👳🏻 person wearing turban: light skin tone
👳🏼 person wearing turban: medium-light skin tone
👳🏽 person wearing turban: medium skin tone
👳🏾 person wearing turban: medium-dark skin tone
👳🏿 person wearing turban: dark skin tone
👳‍♂️ man wearing turban
👳🏻‍♂️ man wearing turban: light skin tone
👳🏼‍♂️ man wearing turban: medium-light skin tone
👳🏽‍♂️ man wearing turban: medium skin tone
👳🏾‍♂️ man wearing turban: medium-dark skin tone
👳🏿‍♂️ man wearing turban: dark skin tone
👳‍♀️ woman wearing turban
👳🏻‍♀️ woman wearing turban: light skin tone
👳🏼‍♀️ woman wearing turban: medium-light skin tone
👳🏽‍♀️ woman wearing turban: medium skin tone
👳🏾‍♀️ woman wearing turban: medium-dark skin tone
👳🏿‍♀️ woman wearing turban: dark skin tone
👲 person with skullcap
👲🏻 person with skullcap: light skin tone
👲🏼 person with skullcap: medium-light skin tone
👲🏽 person with skullcap: medium skin tone
👲🏾 person with skullcap: medium-dark skin tone
👲🏿 person with skullcap: dark skin tone
🧕 woman with headscarf
🧕🏻 woman with headscarf: light skin tone
🧕🏼 woman with headscarf: medium-light skin tone
🧕🏽 woman with headscarf: medium skin tone
🧕🏾 woman with headscarf: medium-dark skin tone
🧕🏿 woman with headscarf: dark skin tone
🤵 person in tuxedo
🤵🏻 person in tuxedo: light skin tone
🤵🏼 person in tuxedo: medium-light skin tone
🤵🏽 person in tuxedo: medium skin tone
🤵🏾 person in tuxedo: medium-dark skin tone
🤵🏿 person in tuxedo: dark skin tone
🤵‍♂️ man in tuxedo
🤵🏻‍♂️ man in tuxedo: light skin tone
🤵🏼‍♂️ man in tuxedo: medium-light skin tone
🤵🏽‍♂️ man in tuxedo: medium skin tone
🤵🏾‍♂️ man in tuxedo: medium-dark skin tone
🤵🏿‍♂️ man in tuxedo: dark skin tone
🤵‍♀️ woman in tuxedo
🤵🏻‍♀️ woman in tuxedo: light skin tone
🤵🏼‍♀️ woman in tuxedo: medium-light skin tone
🤵🏽‍♀️ woman in tuxedo: medium skin tone
🤵🏾‍♀️ woman in tuxedo: medium-dark skin tone
🤵🏿‍♀️ woman in tuxedo: dark skin tone
👰 person with veil
👰🏻 person with veil: light skin tone
👰🏼 person with veil: medium-light skin tone
👰🏽 person with veil: medium skin tone
👰🏾 person with veil: medium-dark skin tone
👰🏿 person with veil: dark skin tone
👰‍♂️ man with veil
👰🏻‍♂️ man with veil: light skin tone
👰🏼‍♂️ man with veil: medium-light skin tone
👰🏽‍♂️ man with veil: medium skin tone
👰🏾‍♂️ man with veil: medium-dark skin tone
👰🏿‍♂️ man with veil: dark skin tone
👰‍♀️ woman with veil
👰🏻‍♀️ woman with veil: light skin tone
👰🏼‍♀️ woman with veil: medium-light skin tone
👰🏽‍♀️ woman with veil: medium skin tone
👰🏾‍♀️ woman with veil: medium-dark skin tone
👰🏿‍♀️ woman with veil: dark skin tone
🤰 pregnant woman
🤰🏻 pregnant woman: light skin tone
🤰🏼 pregnant woman: medium-light skin tone
🤰🏽 pregnant woman: medium skin tone
🤰🏾 pregnant woman: medium-dark skin tone
🤰🏿 pregnant woman: dark skin tone
🫃 pregnant man
🫃🏻 pregnant man: light skin tone
🫃🏼 pregnant man: medium-light skin tone
🫃🏽 pregnant man: medium skin tone
🫃🏾 pregnant man: medium-dark skin tone
🫃🏿 pregnant man: dark skin tone
🫄 pregnant person
🫄🏻 pregnant person: light skin tone
🫄🏼 pregnant person: medium-light skin tone
🫄🏽 pregnant person: medium skin tone
🫄🏾 pregnant person: medium-dark skin tone
🫄🏿 pregnant person: dark skin tone
🤱 breast-feeding
🤱🏻 breast-feeding: light skin tone
🤱🏼 breast-feeding: medium-light skin tone
🤱🏽 breast-feeding: medium skin tone
🤱🏾 breast-feeding: medium-dark skin tone
🤱🏿 breast-feeding: dark skin tone
👩‍🍼 woman feeding baby
👩🏻‍🍼 woman feeding baby: light skin tone
👩🏼‍🍼 woman feeding baby: medium-light skin tone
👩🏽‍🍼 woman feeding baby: medium skin tone
👩🏾‍🍼 woman feeding baby: medium-dark skin tone
👩🏿‍🍼 woman feeding baby: dark skin tone
👨‍🍼 man feeding baby
👨🏻‍🍼 man feeding baby: light skin tone
👨🏼‍🍼 man feeding baby: medium-light skin tone
👨🏽‍🍼 man feeding baby: medium skin tone
👨🏾‍🍼 man feeding baby: medium-dark skin tone
👨🏿‍🍼 man feeding baby: dark skin tone
🧑‍🍼 person feeding baby
🧑🏻‍🍼 person feeding baby: light skin tone
🧑🏼‍🍼 person feeding baby: medium-light skin tone
🧑🏽‍🍼 person feeding baby: medium skin tone
🧑🏾‍🍼 person feeding baby: medium-dark skin tone
🧑🏿‍🍼 person feeding baby: dark skin tone
👼 baby angel
👼🏻 baby angel: light skin tone
👼🏼 baby angel: medium-light skin tone
👼🏽 baby angel: medium skin tone
👼🏾 baby angel: medium-dark skin tone
👼🏿 baby angel: dark skin tone
🎅 Santa Claus
🎅🏻 Santa Claus: light skin tone
🎅🏼 Santa Claus: medium-light skin tone
🎅🏽 Santa Claus: medium skin tone
🎅🏾 Santa Claus: medium-dark skin tone
🎅🏿 Santa Claus: dark skin tone
🤶 Mrs. Claus
🤶🏻 Mrs. Claus: light skin tone
🤶🏼 Mrs. Claus: medium-light skin tone
🤶🏽 Mrs. Claus: medium skin tone
🤶🏾 Mrs. Claus: medium-dark skin tone
🤶🏿 Mrs. Claus: dark skin tone
🧑‍🎄 mx claus
🧑🏻‍🎄 mx claus: light skin tone
🧑🏼‍🎄 mx claus: medium-light skin tone
🧑🏽‍🎄 mx claus: medium skin tone
🧑🏾‍🎄 mx claus: medium-dark skin tone
🧑🏿‍🎄 mx claus: dark skin tone
🦸 superhero
🦸🏻 superhero: light skin tone
🦸🏼 superhero: medium-light skin tone
🦸🏽 superhero: medium skin tone
🦸🏾 superhero: medium-dark skin tone
🦸🏿 superhero: dark skin tone
🦸‍♂️ man superhero
🦸🏻‍♂️ man superhero: light skin tone
🦸🏼‍♂️ man superhero: medium-light skin tone
🦸🏽‍♂️ man superhero: medium skin tone
🦸🏾‍♂️ man superhero: medium-dark skin tone
🦸🏿‍♂️ man superhero: dark skin tone
🦸‍♀️ woman superhero
🦸🏻‍♀️ woman superhero: light skin tone
🦸🏼‍♀️ woman superhero: medium-light skin tone
🦸🏽‍♀️ woman superhero: medium skin tone
🦸🏾‍♀️ woman superhero: medium-dark skin tone
🦸🏿‍♀️ woman superhero: dark skin tone
🦹 supervillain
🦹🏻 supervillain: light skin tone
🦹🏼 supervillain: medium-light skin tone
🦹🏽 supervillain: medium skin tone
🦹🏾 supervillain: medium-dark skin tone
🦹🏿 supervillain: dark skin tone
🦹‍♂️ man supervillain
🦹🏻‍♂️ man supervillain: light skin tone
🦹🏼‍♂️ man supervillain: medium-light skin tone
🦹🏽‍♂️ man supervillain: medium skin tone
🦹🏾‍♂️ man supervillain: medium-dark skin tone
🦹🏿‍♂️ man supervillain: dark skin tone
🦹‍♀️ woman supervillain
🦹🏻‍♀️ woman supervillain: light skin tone
🦹🏼‍♀️ woman supervillain: medium-light skin tone
🦹🏽‍♀️ woman supervillain: medium skin tone
🦹🏾‍♀️ woman supervillain: medium-dark skin tone
🦹🏿‍♀️ woman supervillain: dark skin tone
🧙 mage
🧙🏻 mage: light skin tone
🧙🏼 mage: medium-light skin tone
🧙🏽 mage: medium skin tone
🧙🏾 mage: medium-dark skin tone
🧙🏿 mage: dark skin tone
🧙‍♂️ man mage
🧙🏻‍♂️ man mage: light skin tone
🧙🏼‍♂️ man mage: medium-light skin tone
🧙🏽‍♂️ man mage: medium skin tone
🧙🏾‍♂️ man mage: medium-dark skin tone
🧙🏿‍♂️ man mage: dark skin tone
🧙‍♀️ woman mage
🧙🏻‍♀️ woman mage: light skin tone
🧙🏼‍♀️ woman mage: medium-light skin tone
🧙🏽‍♀️ woman mage: medium skin tone
🧙🏾‍♀️ woman mage: medium-dark skin tone
🧙🏿‍♀️ woman mage: dark skin tone
🧚 fairy
🧚🏻 fairy: light skin tone
🧚🏼 fairy: medium-light skin tone
🧚🏽 fairy: medium skin tone
🧚🏾 fairy: medium-dark skin tone
🧚🏿 fairy: dark skin tone
🧚‍♂️ man fairy
🧚🏻‍♂️ man fairy: light skin tone
🧚🏼‍♂️ man fairy: medium-light skin tone
🧚🏽‍♂️ man fairy: medium skin tone
🧚🏾‍♂️ man fairy: medium-dark skin tone
🧚🏿‍♂️ man fairy: dark skin tone
🧚‍♀️ woman fairy
🧚🏻‍♀️ woman fairy: light skin tone
🧚🏼‍♀️ woman fairy: medium-light skin tone
🧚🏽‍♀️ woman fairy: medium skin tone
🧚🏾‍♀️ woman fairy: medium-dark skin tone
🧚🏿‍♀️ woman fairy: dark skin tone
🧛 vampire
🧛🏻 vampire: light skin tone
🧛🏼 vampire: medium-light skin tone
🧛🏽 vampire: medium skin tone
🧛🏾 vampire: medium-dark skin tone
🧛🏿 vampire: dark skin tone
🧛‍♂️ man vampire
🧛🏻‍♂️ man vampire: light skin tone
🧛🏼‍♂️ man vampire: medium-light skin tone
🧛🏽‍♂️ man vampire: medium skin tone
🧛🏾‍♂️ man vampire: medium-dark skin tone
🧛🏿‍♂️ man vampire: dark skin tone
🧛‍♀️ woman vampire
🧛🏻‍♀️ woman vampire: light skin tone
🧛🏼‍♀️ woman vampire: medium-light skin tone
🧛🏽‍♀️ woman vampire: medium skin tone
🧛🏾‍♀️ woman vampire: medium-dark skin tone
🧛🏿‍♀️ woman vampire: dark skin tone
🧜 merperson
🧜🏻 merperson: light skin tone
🧜🏼 merperson: medium-light skin tone
🧜🏽 merperson: medium skin tone
🧜🏾 merperson: medium-dark skin tone
🧜🏿 merperson: dark skin tone
🧜‍♂️ merman
🧜🏻‍♂️ merman: light skin tone
🧜🏼‍♂️ merman: medium-light skin tone
🧜🏽‍♂️ merman: medium skin tone
🧜🏾‍♂️ merman: medium-dark skin tone
🧜🏿‍♂️ merman: dark skin tone
🧜‍♀️ mermaid
🧜🏻‍♀️ mermaid: light skin tone
🧜🏼‍♀️ mermaid: medium-light skin tone
🧜🏽‍♀️ mermaid: medium skin tone
🧜🏾‍♀️ mermaid: medium-dark skin tone
🧜🏿‍♀️ mermaid: dark skin tone
🧝 elf
🧝🏻 elf: light skin tone
🧝🏼 elf: medium-light skin tone
🧝🏽 elf: medium skin tone
🧝🏾 elf: medium-dark skin tone
🧝🏿 elf: dark skin tone
🧝‍♂️ man elf
🧝🏻‍♂️ man elf: light skin tone
🧝🏼‍♂️ man elf: medium-light skin tone
🧝🏽‍♂️ man elf: medium skin tone
🧝🏾‍♂️ man elf: medium-dark skin tone
🧝🏿‍♂️ man elf: dark skin tone
🧝‍♀️ woman elf
🧝🏻‍♀️ woman elf: light skin tone
🧝🏼‍♀️ woman elf: medium-light skin tone
🧝🏽‍♀️ woman elf: medium skin tone
🧝🏾‍♀️ woman elf: medium-dark skin tone
🧝🏿‍♀️ woman elf: dark skin tone
🧞 genie
🧞‍♂️ man genie
🧞‍♀️ woman genie
🧟 zombie
🧟‍♂️ man zombie
🧟‍♀️ woman zombie
🧌 troll
💆 person getting massage	spa relax massage pamper
💆🏻 person getting massage: light skin tone	spa relax massage pamper
💆🏼 person getting massage: medium-light skin tone	spa relax massage pamper
💆🏽 person getting massage: medium skin tone	spa relax massage pamper
💆🏾 person getting massage: medium-dark skin tone	spa relax massage pamper
💆🏿 person getting massage: dark skin tone	spa relax massage pamper
💆‍♂️ man getting massage	spa relax massage pamper
💆🏻‍♂️ man getting massage: light skin tone	spa relax massage pamper
💆🏼‍♂️ man getting massage: medium-light skin tone	spa relax massage pamper
💆🏽‍♂️ man getting massage: medium skin tone	spa relax massage pamper
💆🏾‍♂️ man getting massage: medium-dark skin tone	spa relax massage pamper
💆🏿‍♂️ man getting massage: dark skin tone	spa relax massage pamper
💆‍♀️ woman getting massage	spa relax massage pamper
💆🏻‍♀️ woman getting massage: light skin tone	spa relax massage pamper
💆🏼‍♀️ woman getting massage: medium-light skin tone	spa relax massage pamper
💆🏽‍♀️ woman getting massage: medium skin tone	spa relax massage pamper
💆🏾‍♀️ woman getting massage: medium-dark skin tone	spa relax massage pamper
💆🏿‍♀️ woman getting massage: dark skin tone	spa relax massage pamper
💇 person getting haircut	haircut salon barber trim
💇🏻 person getting haircut: light skin tone	haircut salon barber trim
💇🏼 person getting haircut: medium-light skin tone	haircut salon barber trim
💇🏽 person getting haircut: medium skin tone	haircut salon barber trim
💇🏾 person getting haircut: medium-dark skin tone	haircut salon barber trim
💇🏿 person getting haircut: dark skin tone	haircut salon barber trim
💇‍♂️ man getting haircut	haircut salon barber trim
💇🏻‍♂️ man getting haircut: light skin tone	haircut salon barber trim
💇🏼‍♂️ man getting haircut: medium-light skin tone	haircut salon barber trim
💇🏽‍♂️ man getting haircut: medium skin tone	haircut salon barber trim
💇🏾‍♂️ man getting haircut: medium-dark skin tone	haircut salon barber trim
💇🏿‍♂️ man getting haircut: dark skin tone	haircut salon barber trim
💇‍♀️ woman getting haircut	haircut salon barber trim
💇🏻‍♀️ woman getting haircut: light skin tone	haircut salon barber trim
💇🏼‍♀️ woman getting haircut: medium-light skin tone	haircut salon barber trim
💇🏽‍♀️ woman getting haircut: medium skin tone	haircut salon barber trim
💇🏾‍♀️ woman getting haircut: medium-dark skin tone	haircut salon barber trim
💇🏿‍♀️ woman getting haircut: dark skin tone	haircut salon barber trim
🚶 person walking	walk stroll pedestrian going
🚶🏻 person walking: light skin tone	walk stroll pedestrian going
🚶🏼 person walking: medium-light skin tone	walk stroll pedestrian going
🚶🏽 person walking: medium skin tone	walk stroll pedestrian going
🚶🏾 person walking: medium-dark skin tone	walk stroll pedestrian going
🚶🏿 person walking: dark skin tone	walk stroll pedestrian going
🚶‍♂️ man walking	walk stroll pedestrian going
🚶🏻‍♂️ man walking: light skin tone	walk stroll pedestrian going
🚶🏼‍♂️ man walking: medium-light skin tone	walk stroll pedestrian going
🚶🏽‍♂️ man walking: medium skin tone	walk stroll pedestrian going
🚶🏾‍♂️ man walking: medium-dark skin tone	walk stroll pedestrian going
🚶🏿‍♂️ man walking: dark skin tone	walk stroll pedestrian going
🚶‍♀️ woman walking	walk stroll pedestrian going
🚶🏻‍♀️ woman walking: light skin tone	walk stroll pedestrian going
🚶🏼‍♀️ woman walking: medium-light skin tone	walk stroll pedestrian going
🚶🏽‍♀️ woman walking: medium skin tone	walk stroll pedestrian going
🚶🏾‍♀️ woman walking: medium-dark skin tone	walk stroll pedestrian going
🚶🏿‍♀️ woman walking: dark skin tone	walk stroll pedestrian going
🧍 person standing	standing still wait idle
🧍🏻 person standing: light skin tone	standing still wait idle
🧍🏼 person standing: medium-light skin tone	standing still wait idle
🧍🏽 person standing: medium skin tone	standing still wait idle
🧍🏾 person standing: medium-dark skin tone	standing still wait idle
🧍🏿 person standing: dark skin tone	standing still wait idle
🧍‍♂️ man standing	standing still wait idle
🧍🏻‍♂️ man standing: light skin tone	standing still wait idle
🧍🏼‍♂️ man standing: medium-light skin tone	standing still wait idle
🧍🏽‍♂️ man standing: medium skin tone	standing still wait idle
🧍🏾‍♂️ man standing: medium-dark skin tone	standing still wait idle
🧍🏿‍♂️ man standing: dark skin tone	standing still wait idle
🧍‍♀️ woman standing	standing still wait idle
🧍🏻‍♀️ woman standing: light skin tone	standing still wait idle
🧍🏼‍♀️ woman standing: medium-light skin tone	standing still wait idle
🧍🏽‍♀️ woman standing: medium skin tone	standing still wait idle
🧍🏾‍♀️ woman standing: medium-dark skin tone	standing still wait idle
🧍🏿‍♀️ woman standing: dark skin tone	standing still wait idle
🧎 person kneeling	kneel pray propose bow
🧎🏻 person kneeling: light skin tone	kneel pray propose bow
🧎🏼 person kneeling: medium-light skin tone	kneel pray propose bow
🧎🏽 person kneeling: medium skin tone	kneel pray propose bow
🧎🏾 person kneeling: medium-dark skin tone	kneel pray propose bow
🧎🏿 person kneeling: dark skin tone	kneel pray propose bow
🧎‍♂️ man kneeling	kneel pray propose bow
🧎🏻‍♂️ man kneeling: light skin tone	kneel pray propose bow
🧎🏼‍♂️ man kneeling: medium-light skin tone	kneel pray propose bow
🧎🏽‍♂️ man kneeling: medium skin tone	kneel pray propose bow
🧎🏾‍♂️ man kneeling: medium-dark skin tone	kneel pray propose bow
🧎🏿‍♂️ man kneeling: dark skin tone	kneel pray propose bow
🧎‍♀️ woman kneeling	kneel pray propose bow
🧎🏻‍♀️ woman kneeling: light skin tone	kneel pray propose bow
🧎🏼‍♀️ woman kneeling: medium-light skin tone	kneel pray propose bow
🧎🏽‍♀️ woman kneeling: medium skin tone	kneel pray propose bow
🧎🏾‍♀️ woman kneeling: medium-dark skin tone	kneel pray propose bow
🧎🏿‍♀️ woman kneeling: dark skin tone	kneel pray propose bow
🧑‍🦯 person with white cane
🧑🏻‍🦯 person with white cane: light skin tone
🧑🏼‍🦯 person with white cane: medium-light skin tone
🧑🏽‍🦯 person with white cane: medium skin tone
🧑🏾‍🦯 person with white cane: medium-dark skin tone
🧑🏿‍🦯 person with white cane: dark skin tone
👨‍🦯 man with white cane
👨🏻‍🦯 man with white cane: light skin tone
👨🏼‍🦯 man with white cane: medium-light skin tone
👨🏽‍🦯 man with white cane: medium skin tone
👨🏾‍🦯 man with white cane: medium-dark skin tone
👨🏿‍🦯 man with white cane: dark skin tone
👩‍🦯 woman with white cane
👩🏻‍🦯 woman with white cane: light skin tone
👩🏼‍🦯 woman with white cane: medium-light skin tone
👩🏽‍🦯 woman with white cane: medium skin tone
👩🏾‍🦯 woman with white cane: medium-dark skin tone
👩🏿‍🦯 woman with white cane: dark skin tone
🧑‍🦼 person in motorized wheelchair
🧑🏻‍🦼 person in motorized wheelchair: light skin tone
🧑🏼‍🦼 person in motorized wheelchair: medium-light skin tone
🧑🏽‍🦼 person in motorized wheelchair: medium skin tone
🧑🏾‍🦼 person in motorized wheelchair: medium-dark skin tone
🧑🏿‍🦼 person in motorized wheelchair: dark skin tone
👨‍🦼 man in motorized wheelchair
👨🏻‍🦼 man in motorized wheelchair: light skin tone
👨🏼‍🦼 man in motorized wheelchair: medium-light skin tone
👨🏽‍🦼 man in motorized wheelchair: medium skin tone
👨🏾‍🦼 man in motorized wheelchair: medium-dark skin tone
👨🏿‍🦼 man in motorized wheelchair: dark skin tone
👩‍🦼 woman in motorized wheelchair
👩🏻‍🦼 woman in motorized wheelchair: light skin tone
👩🏼‍🦼 woman in motorized wheelchair: medium-light skin tone
👩🏽‍🦼 woman in motorized wheelchair: medium skin tone
👩🏾‍🦼 woman in motorized wheelchair: medium-dark skin tone
👩🏿‍🦼 woman in motorized wheelchair: dark skin tone
🧑‍🦽 person in manual wheelchair
🧑🏻‍🦽 person in manual wheelchair: light skin tone
🧑🏼‍🦽 person in manual wheelchair: medium-light skin tone
🧑🏽‍🦽 person in manual wheelchair: medium skin tone
🧑🏾‍🦽 person in manual wheelchair: medium-dark skin tone
🧑🏿‍🦽 person in manual wheelchair: dark skin tone
👨‍🦽 man in manual wheelchair
👨🏻‍🦽 man in manual wheelchair: light skin tone
👨🏼‍🦽 man in manual wheelchair: medium-light skin tone
👨🏽‍🦽 man in manual wheelchair: medium skin tone
👨🏾‍🦽 man in manual wheelchair: medium-dark skin tone
👨🏿‍🦽 man in manual wheelchair: dark skin tone
👩‍🦽 woman in manual wheelchair
👩🏻‍🦽 woman in manual wheelchair: light skin tone
👩🏼‍🦽 woman in manual wheelchair: medium-light skin tone
👩🏽‍🦽 woman in manual wheelchair: medium skin tone
👩🏾‍🦽 woman in manual wheelchair: medium-dark skin tone
👩🏿‍🦽 woman in manual wheelchair: dark skin tone
🏃 person running	run jog sprint exercise fast
